# Per-match per-placement kill counts for ALGS regional fits.
#
# Schema:
#   region          one of: americas / emea / apac_n / apac_s
#   tournament      stable slug per finals event, e.g. "2024-S1-Pro-League-Finals"
#   match_number    1-indexed match number within the event
#   placement       1..20 final placement in that match
#   team_kills      scored kills the team at that placement earned in that match
#
# Source: Liquipedia per-match Standings tables for ALGS Year 4 / Year 5
# regional Pro League Finals (the same 19-event dataset described in
# docs/data_validation.md section 2-B). Global Finals are stored under
# "global" if added later (currently out of scope for region fits).
#
# Authoritative fetch path (cycle 14 onward):
#   python -m tools.fetch_liquipedia_finals
#       --page <Liquipedia page path>
#       --region <apac_s|...> --tournament <slug>
#   The script pulls raw wikitext via the MediaWiki API and parses the
#   Bracket template's TeamOpponent / MS sub-templates. This replaces
#   the older manual-transcription rows whose origin was undocumented.
#
# Coverage as of cycle 14 backfill (apac_s 2024 events re-fetched from
# wikitext; 27/100 cells in S1 m1-m5 and 5/29 overlap cells in S2 m1-m6
# differed from the prior transcription -- wikitext values used):
#   americas:   2024 S1 (7 m), 2024 S2 (6 m), 2025 S1 (10 m), 2025 S2 (7 m)
#   emea:       2024 S1 (8 m), 2024 S2 (9 m), 2025 S1 (11 m), 2025 S2 (6 m)
#   apac_n:     2024 S1 (6 m), 2024 S2 (13 m), 2025 S1 (8 m), 2025 S2 (8 m)
#   apac_s:     2024 S1 (10 m), 2024 S2 (7 m), 2025 S1 (7 m), 2025 S2 (8 m)
#
# Filling rule: prefer the fetch script over manual transcription;
# preserve sort order region -> tournament -> match -> placement when
# appending or replacing rows.
region,tournament,match_number,placement,team_kills
americas,2025-S1-Pro-League-Finals,1,1,15
americas,2025-S1-Pro-League-Finals,1,2,9
americas,2025-S1-Pro-League-Finals,1,3,7
americas,2025-S1-Pro-League-Finals,1,4,15
americas,2025-S1-Pro-League-Finals,1,5,5
americas,2025-S1-Pro-League-Finals,1,6,3
americas,2025-S1-Pro-League-Finals,1,7,0
americas,2025-S1-Pro-League-Finals,1,8,1
americas,2025-S1-Pro-League-Finals,1,9,9
americas,2025-S1-Pro-League-Finals,1,10,0
americas,2025-S1-Pro-League-Finals,1,11,3
americas,2025-S1-Pro-League-Finals,1,12,1
americas,2025-S1-Pro-League-Finals,1,13,0
americas,2025-S1-Pro-League-Finals,1,14,1
americas,2025-S1-Pro-League-Finals,1,15,3
americas,2025-S1-Pro-League-Finals,1,16,3
americas,2025-S1-Pro-League-Finals,1,17,1
americas,2025-S1-Pro-League-Finals,1,18,2
americas,2025-S1-Pro-League-Finals,1,19,1
americas,2025-S1-Pro-League-Finals,1,20,0
americas,2025-S1-Pro-League-Finals,2,1,14
americas,2025-S1-Pro-League-Finals,2,2,5
americas,2025-S1-Pro-League-Finals,2,3,5
americas,2025-S1-Pro-League-Finals,2,4,0
americas,2025-S1-Pro-League-Finals,2,5,1
americas,2025-S1-Pro-League-Finals,2,6,4
americas,2025-S1-Pro-League-Finals,2,7,5
americas,2025-S1-Pro-League-Finals,2,8,14
americas,2025-S1-Pro-League-Finals,2,9,2
americas,2025-S1-Pro-League-Finals,2,10,3
americas,2025-S1-Pro-League-Finals,2,11,1
americas,2025-S1-Pro-League-Finals,2,12,2
americas,2025-S1-Pro-League-Finals,2,13,2
americas,2025-S1-Pro-League-Finals,2,14,0
americas,2025-S1-Pro-League-Finals,2,15,6
americas,2025-S1-Pro-League-Finals,2,16,1
americas,2025-S1-Pro-League-Finals,2,17,1
americas,2025-S1-Pro-League-Finals,2,18,6
americas,2025-S1-Pro-League-Finals,2,19,3
americas,2025-S1-Pro-League-Finals,2,20,0
americas,2025-S1-Pro-League-Finals,3,1,16
americas,2025-S1-Pro-League-Finals,3,2,7
americas,2025-S1-Pro-League-Finals,3,3,2
americas,2025-S1-Pro-League-Finals,3,4,0
americas,2025-S1-Pro-League-Finals,3,5,1
americas,2025-S1-Pro-League-Finals,3,6,1
americas,2025-S1-Pro-League-Finals,3,7,7
americas,2025-S1-Pro-League-Finals,3,8,2
americas,2025-S1-Pro-League-Finals,3,9,5
americas,2025-S1-Pro-League-Finals,3,10,0
americas,2025-S1-Pro-League-Finals,3,11,5
americas,2025-S1-Pro-League-Finals,3,12,0
americas,2025-S1-Pro-League-Finals,3,13,4
americas,2025-S1-Pro-League-Finals,3,14,2
americas,2025-S1-Pro-League-Finals,3,15,0
americas,2025-S1-Pro-League-Finals,3,16,0
americas,2025-S1-Pro-League-Finals,3,17,4
americas,2025-S1-Pro-League-Finals,3,18,0
americas,2025-S1-Pro-League-Finals,3,19,5
americas,2025-S1-Pro-League-Finals,3,20,3
americas,2025-S1-Pro-League-Finals,4,1,9
americas,2025-S1-Pro-League-Finals,4,2,8
americas,2025-S1-Pro-League-Finals,4,3,3
americas,2025-S1-Pro-League-Finals,4,4,6
americas,2025-S1-Pro-League-Finals,4,5,0
americas,2025-S1-Pro-League-Finals,4,6,0
americas,2025-S1-Pro-League-Finals,4,7,3
